OBJECTID,HS_STOPS_I,STOP_ID,LONGITUDE,LATTITUDE,STOP_NAME,ONSTREET,ON_SUFFIX,ATSTREET,AT_SUFFIX,STOP_DIREC,TAXI_STAND,REST_ROOM,SHELTER,PARKING,PLATFORM,BENCH,ELEVATOR,ESCALATOR,CENTROIDX,CENTROIDY,LINE_NAME,SEQUENCE,WEEKDAY_BO,SATURDAY_B,SUNDAY_BOA,X,Y,LABEL
60,0.00000000,20112.00000000,-75.35024000,40.08238000,Hughes Park,Yerkes,RD,Crooked,LN,,N,N,Y,N,Y,,N,N,470172.05,4436960.95,ROUTE 100,40,396,37,24,2640310.89119000,281590.13622300,Hughes Park
61,0.00000000,20113.00000000,-75.34328000,40.07159000,Gulph Mills,Trinity,LN,Crest,WAY,,N,N,Y,Y,Y,,N,N,470760.76,4435760.38,ROUTE 100,50,275,45,27,2642235.79456000,277899.37409900,Gulph Mills
62,0.00000000,20114.00000000,-75.33984000,40.05783000,Matsonford,Montgomery,AVE,Matsonford,RD,,N,N,Y,Y,Y,,N,N,471048.52,4434231.8,ROUTE 100,60,172,36,28,2643170.75836000,273146.50114700,Matsonford
63,0.00000000,20115.00000000,-75.34726000,40.05043000,County Line,County Line,RD,Matsonford,RD,,N,N,Y,N,Y,,N,N,470412.46,4433413.25,ROUTE 100,70,595,123,86,2641105.90184000,270358.45252700,County Line
64,0.00000000,20116.00000000,-75.35394000,40.04273000,Radnor,Station,DR,King of Prussia,RD,,N,N,Y,Y,Y,,N,N,469839.78,4432561.32,ROUTE 100,80,231,55,47,2639389.32291000,267285.17543000,Radnor
65,0.00000000,20117.00000000,-75.34417000,40.03381000,Villanova,Stadium,DR,Lancaster,AVE,,N,N,Y,Y,Y,,N,N,470668.82,4431567.91,ROUTE 100,90,178,70,65,2642174.33291000,264434.64919600,Villanova
66,0.00000000,20118.00000000,-75.34126000,40.03270000,Ithan Av,Ithan,AVE,Lancaster,AVE,,N,N,Y,N,Y,,N,N,470916.72,4431443.2,ROUTE 100,100,978,281,234,2643072.84229000,263967.17618100,Stadium
67,0.00000000,20119.00000000,-75.33725000,40.02826000,Garrett Hill,Lowrys,LN,Fairfax,RD,,N,N,Y,N,Y,,N,N,471257.17,4430949.87,ROUTE 100,110,94,34,36,2644355.15370000,262248.11858500,Garrett Hill
68,0.00000000,20200.00000000,-75.33086000,40.02146000,Roberts Rd (Rosemont),Roberts,RD,David,DR,,N,N,Y,N,Y,,N,N,471799.69,4430193.22,ROUTE 100,120,142,43,43,2646117.42367000,259930.39059900,Rosemont
69,0.00000000,20201.00000000,-75.31559000,40.00964000,Haverford,Haverford,RD,Buck,LN,,N,N,Y,Y,Y,,N,N,473097.78,4428875.49,ROUTE 100,140,137,24,35,2650402.69863000,255902.33404200,Haverford
70,0.00000000,20202.00000000,-75.30392000,39.99608000,Ardmore Junction,Haverford,RD,W Hathaway,LN,,N,N,Y,Y,Y,,N,N,474088.78,4427367.11,ROUTE 100,160,176,54,46,2653849.32842000,250964.84115400,Ardmore Junction
71,0.00000000,20203.00000000,-75.29872000,39.99337000,Wynnewood Rd,Haverford,RD,Eagle,RD,,N,N,Y,Y,Y,,N,N,474531.6,4427065.72,ROUTE 100,170,53,22,18,2655332.51634000,250009.61042500,Wynnewood Rd
72,0.00000000,20204.00000000,-75.28444000,39.98069000,Penfield (Manoa Rd),Lawson,AVE,Manoa,RD,,N,N,Y,Y,Y,,N,N,475746.12,4425653.51,ROUTE 100,190,201,39,30,2659490.43448000,245564.88843200,Penfield
73,0.00000000,20205.00000000,-75.28174000,39.97450000,Township Line Rd,Township Line,RD,Grove,PL,,N,N,Y,N,Y,,N,N,475974.49,4424965.76,ROUTE 100,200,265,65,39,2660267.67922000,243313.52197500,West Overbrook
74,0.00000000,20206.00000000,-75.27268000,39.96774000,Parkview,Parkview,RD,Fairview,AVE,,N,N,N,N,Y,,N,N,476745.7,4424213.62,ROUTE 100,210,118,35,19,2662316.21963000,241203.91896700,Parkview
